iter	Logloss
0	0.6611876244
1	0.6329518325
2	0.6042554638
3	0.5855644024
4	0.5700015029
5	0.5577277606
6	0.5467138347
7	0.5368974801
8	0.5277666999
9	0.5208728449
10	0.5148682959
11	0.5070675368
12	0.5026565993
13	0.498794886
14	0.4951107527
15	0.49053871
16	0.4858064057
17	0.4829356565
18	0.4796844573
19	0.4738234316
20	0.4720711588
21	0.4696056654
22	0.467343973
23	0.4661010648
24	0.4639457824
25	0.4618605351
26	0.4608394217
27	0.4598066731
28	0.458451734
29	0.4575588139
30	0.456126214
31	0.4557255259
32	0.4529759619
33	0.4516103311
34	0.446795814
35	0.4459297634
36	0.4443028634
37	0.4439818567
38	0.4415427658
39	0.4409459791
40	0.4372535945
41	0.4368069581
42	0.4359172438
43	0.4349967124
44	0.4342983498
45	0.4332762719
46	0.4326452359
47	0.4320691595
48	0.4314518088
49	0.4311156538
50	0.4311027001
51	0.4290192364
52	0.428653602
53	0.4282943018
54	0.4278622821
55	0.4278446735
56	0.4267973449
57	0.4263577598
58	0.4263524611
59	0.4247476704
60	0.4239514751
61	0.4225592683
62	0.4212081189
63	0.42116007
64	0.4211152134
65	0.4208686625
66	0.4203535405
67	0.4193061484
68	0.4190382654
69	0.4181381057
70	0.4171568632
71	0.4170841993
72	0.416818399
73	0.4166938558
74	0.4161849972
75	0.4153913108
76	0.4142637316
77	0.4136908922
78	0.4129636722
79	0.4129288077
80	0.412802777
81	0.4124016005
82	0.4117795955
83	0.4103753674
84	0.4103494535
85	0.4100202474
86	0.409877892
87	0.4095851096
88	0.4094002185
89	0.4090317386
90	0.4089277875
91	0.408515998
92	0.4085073865
93	0.4083310283
94	0.4082060909
95	0.4071767226
96	0.4069776871
97	0.4065579602
98	0.4058479553
99	0.4054109677
100	0.4049498612
101	0.404696013
102	0.4045826761
103	0.403180908
104	0.4025952803
105	0.4018958134
106	0.4002119399
107	0.3997978652
108	0.3996396633
109	0.3994260345
110	0.3987586835
111	0.3987243731
112	0.3982838059
113	0.3981414336
114	0.3964816499
115	0.3954561219
116	0.3951580682
117	0.3936878908
118	0.3927757857
119	0.391873696
120	0.3911798857
121	0.3901250735
122	0.3893870375
123	0.3888501009
124	0.3878493044
125	0.3866223405
126	0.3865590434
127	0.3854560318
128	0.3851591589
129	0.3844937934
130	0.3834690297
131	0.3828350648
132	0.3812272618
133	0.3808108682
134	0.380309216
135	0.3796936887
136	0.378703735
137	0.3779296465
138	0.3775675617
139	0.376931401
140	0.3768587673
141	0.3759058286
142	0.3757379435
143	0.3748168456
144	0.3738468758
145	0.3728881245
146	0.3719593623
147	0.37138127
148	0.3705744107
149	0.3699304512
150	0.3695187399
151	0.3692922959
152	0.3683246788
153	0.3671641346
154	0.3670098174
155	0.3669823761
156	0.3664532181
157	0.3647996354
158	0.3637890364
159	0.3624382924
160	0.3616048414
161	0.3615544166
162	0.36135637
163	0.3613141747
164	0.3610827492
165	0.3601211008
166	0.3596675015
167	0.3590253508
168	0.3583371362
169	0.3571644702
170	0.3566511168
171	0.356062624
172	0.3554755829
173	0.3547792327
174	0.3533107134
175	0.3527694767
176	0.3523779951
177	0.3520496332
178	0.351970295
179	0.3514976684
180	0.3504019286
181	0.3500764682
182	0.3494386134
183	0.349170811
184	0.3481960588
185	0.3474514777
186	0.346776188
187	0.3457256753
188	0.3449148723
189	0.3442039743
190	0.3435320779
191	0.3422533948
192	0.3411128768
193	0.3399915584
194	0.3399773187
195	0.3395609017
196	0.3391019806
197	0.3390154085
198	0.3390083385
199	0.3388028822
200	0.3379567707
201	0.3376845041
202	0.3371533202
203	0.3366325457
204	0.3358732678
205	0.3357486652
206	0.3348080931
207	0.3343668902
208	0.3341737682
209	0.3334207989
210	0.3326088851
211	0.3319103703
212	0.3311832408
213	0.3303756736
214	0.3296689138
215	0.3294155397
216	0.3292362094
217	0.3286143558
218	0.3283318116
219	0.3281745676
220	0.3274675524
221	0.3265733975
222	0.326418304
223	0.3257008768
224	0.3251621162
225	0.324919644
226	0.3240077077
227	0.3232175013
228	0.322516695
229	0.3218313024
230	0.321071539
231	0.3204828342
232	0.3201864161
233	0.3200299451
234	0.3194451278
235	0.318785508
236	0.3186884277
237	0.3184442212
238	0.3183634424
239	0.3183285257
240	0.3179863516
241	0.3171598281
242	0.3167446249
243	0.3164886013
244	0.316321855
245	0.3156109391
246	0.3151068763
247	0.3147269591
248	0.3142132738
249	0.3134363142
250	0.3130588944
251	0.3127525348
252	0.3122304403
253	0.3115974153
254	0.3115375581
255	0.3109843412
256	0.3107571999
257	0.3099454613
258	0.3097844012
259	0.3097052544
260	0.3094466181
261	0.3093674684
262	0.3088949534
263	0.3081825842
264	0.3075916208
265	0.3070191782
266	0.306887165
267	0.3063073267
268	0.3058895824
269	0.3053033443
270	0.3049115254
271	0.3039908808
272	0.3036287552
273	0.3030074861
274	0.3023557671
275	0.3020119297
276	0.3016845949
277	0.3012499926
278	0.3006802179
279	0.2998820166
280	0.2996199257
281	0.2995438784
282	0.2991689164
283	0.2986090138
284	0.2983505463
285	0.2978111527
286	0.2976446597
287	0.2974331931
288	0.2969861522
289	0.296470404
290	0.2964578062
291	0.295659005
292	0.2953596678
293	0.2952390001
294	0.2948919802
295	0.2943145074
296	0.2938394956
297	0.2935297219
298	0.2930281777
299	0.2924449548
